date,scenario,temp_min,temp_max,carbone_moyen,description
2024-01-15,Hiver standard,2,10,30,Jour d'hiver typique en France
2024-02-10,Vague de froid,-5,3,45,Vague de froid exceptionnelle
2024-04-15,Printemps,10,18,25,Journée de printemps douce
2024-06-21,Debut ete,18,28,15,Premier jour d'été
2024-07-15,Canicule,28,40,8,Canicule exceptionnelle
2024-08-20,Ete chaud,25,36,10,Journée estivale très chaude
2024-09-15,Debut automne,12,22,20,Transition été-automne
2024-10-20,Automne,8,16,35,Journée d'automne typique
2024-11-15,Automne froid,3,12,40,Début de la saison froide
2024-12-30,Pic carbone hiver,4,11,42,Pic de consommation décembre
2024-07-20,Canicule extreme,32,42,6,Canicule record
2024-01-08,Grand froid,-8,1,50,Vague de froid extrême
